stimuli,category,type
BILLIARDS-A.AVI,random,line drawing
BILLIARDS-B.AVI,random,line drawing
COAXING-B.AVI,social,line drawing
Dancing.AVI,social,solid
DRIFTING-A.AVI,random,line drawing
DRIFTING-B.AVI,random,line drawing
Fishing.AVI,mental,solid
MOCKING-A.AVI,social,line drawing
MOCKING-B.AVI,social,line drawing
Random mechanical.AVI,mental,solid
Random social.AVI,mental,solid
Scaring.AVI,social,solid
SEDUCING-A.AVI,social,line drawing
SEDUCING-B.AVI,social,line drawing
SharingIcecream.AVI,social,solid
STAR-A.AVI,random,line drawing
STAR-B.AVI,random,line drawing
SURPRISING-A.AVI,social,line drawing
SURPRISING-B.AVI,social,line drawing
Swimming.AVI,social,solid
TENNIS-A.AVI,random,line drawing
TENNIS-B.AVI,random,line drawing
